,Player_Name,Player_LastName,Club,Position,Foot,known_name,sics_id,opta_id,sc_id,first_name,last_name,born_date
166,Riccardo,Calafiori ,GENOA,Left-Back,left,CALAFIORI R.,16122,466075,24271,RICCARDO,CALAFIORI,2002-05-19
167,Andrea,Cambiaso ,GENOA,Left-Back,both,CAMBIASO A.,21320,515759,33391,ANDREA,CAMBIASO,2000-02-20
168,Francesco,Cassata ,GENOA,Central Midfield,right,CASSATA F.,10256,182518,11268,FRANCESCO,CASSATA,1997-07-16
169,Domenico,Criscito ,GENOA,Left-Back,left,CRISCITO D.,7952,19821,2810,DOMENICO,CRISCITO,1986-12-30
170,Mattia,Destro  ,GENOA,Centre-Forward,right,DESTRO M.,6963,60071,7277,MATTIA,DESTRO,1991-03-20
171,Caleb,Ekuban ,GENOA,Centre-Forward,right,EKUBAN C.,9786,152905,14805,CALEB,EKUBAN,1994-03-23
172,Mohamed,Fares ,GENOA,Left Midfield,left,FARES M. S.,7023,184661,7727,MOHAMED,FARES,1996-02-15
173,Andrea,Favilli ,GENOA,Centre-Forward,right,FAVILLI A.,10321,201652,14162,ANDREA,FAVILLI,1997-05-17
174,Morten,Frendrup ,GENOA,Central Midfield,right,FRENDRUP M.,30829,445733,16452,MORTEN,FRENDRUP,2001-04-07
175,Pablo,Galdames ,GENOA,Defensive Midfield,right,GALDAMES P.,26489,179200,23635,PABLO,GALDAMES,1996-12-30
176,Paolo,Ghiglione ,GENOA,Right-Back,right,GHIGLIONE P.,8772,202903,14176,PAOLO,GHIGLIONE,1997-02-02
177,Albert,Gudmundsson ,GENOA,Right Winger,right,GUDMUNDSSON A.,16597,215147,11965,ALBERT,GUDMUNDSSON,1997-06-15
178,Silvan,Hefti ,GENOA,Right-Back,right,HEFTI S.,16525,216588,9843,SILVAN,HEFTI,1997-10-25
179,Hernani,Hernani,GENOA,Central Midfield,both,HERNANI A. J.,18559,157717,13274,AZEVEDO JUNIOR,HERNANI,1994-03-27
180,Yayah,Kallon ,GENOA,Right Winger,left,KALLON Y.,26265,539199,48533,YAYAH,KALLON,2001-06-30
181,Nikola,Maksimovic ,GENOA,Centre-Back,right,MAKSIMOVIC N.,6312,87542,8076,NIKOLA,MAKSIMOVIC,1991-11-25
182,Andrea,Masiello ,GENOA,Centre-Back,right,MASIELLO A.,7124,17985,778,ANDREA,MASIELLO,2020-10-20
183,Filippo,Melegoni ,GENOA,Central Midfield,right,MELEGONI F.,13269,195896,19800,FILIPPO,MELEGONI,1999-02-18
184,Leo,Ostigard ,GENOA,Centre-Back,right,OSTIGARD L. S.,25617,462026,25512,LEO SKIRI,OSTIGARD,1999-11-28
185,Goran,Pandev ,GENOA,Second Striker,left,PANDEV G.,7988,15061,4023,GORAN,PANDEV,1983-07-27
186,Manolo,Portanova ,GENOA,Central Midfield,right,PORTANOVA M.,16078,437802,24515,MANOLO,PORTANOVA,2000-06-02
187,NicolO',Rovella ,GENOA,Defensive Midfield,right,ROVELLA N.,16067,450024,24518,NICOLO',ROVELLA,2001-12-04
188,Stefano,Sabelli ,GENOA,Right-Back,right,SABELLI S.,6637,126488,10004,STEFANO,SABELLI,1993-01-13
189,Eddie,Salcedo ,GENOA,Centre-Forward,right,SALCEDO MORA E. A.,14371,428897,23208,EDDIE ANTHONY,SALCEDO MORA,2001-10-01
190,Adrian,Semper ,GENOA,Goalkeeper,right,SEMPER A.,13038,218362,14109,ADRIAN,SEMPER,1998-01-12
191,Laurens,Serpe ,GENOA,Centre-Back,both,SERPE L.,16044,465639,63028,LAURENS,SERPE,2001-02-07
192,Salvatore,Sirigu ,GENOA,Goalkeeper,right,SIRIGU S.,7295,21155,9473,SALVATORE,SIRIGU,1987-01-12
193,Stefano,Sturaro  ,GENOA,Central Midfield,right,STURARO S.,6509,94751,10006,STEFANO,STURARO,1993-03-09
194,Abdoulaye,TourE' ,GENOA,Defensive Midfield,right,TOURE' A.,27367,158496,128,ABDOULAYE,TOURE',1994-03-03
195,Zinho,Vanheusden  ,GENOA,Centre-Back,right,VANHEUSDEN Z.,14683,423112,13747,ZINHO,VANHEUSDEN,1999-07-29
196,Johan,VAsquez ,GENOA,Centre-Back,left,VASQUEZ J.,26673,431026,36150,JOHAN,VASQUEZ,1998-10-22
